"MacroTrends Data Download"
"QQQ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1999-03-10,43.5428,43.5428,42.8193,43.4577,5232000
1999-03-11,43.7982,44.0536,42.8193,43.6705,9688600
1999-03-12,43.5428,43.5428,42.2702,42.6064,8743600
1999-03-15,42.9469,43.8834,42.4830,43.8408,6369000
1999-03-16,44.0110,44.3941,43.5428,44.2239,4905800
1999-03-17,44.2239,44.2664,43.7557,43.8834,3965000
1999-03-18,43.8408,44.7772,43.8408,44.7346,4848400
1999-03-19,45.3305,45.3305,43.5854,43.5854,7160400
1999-03-22,43.7982,43.8834,42.9895,43.0746,5024800
1999-03-23,42.8193,42.9895,41.4742,41.5551,10962400
1999-03-24,41.9254,42.9895,41.2870,42.9469,8447000
1999-03-25,43.6280,44.5218,43.3300,44.5218,8133800
1999-03-26,44.1813,44.6495,43.8834,44.0536,8256200
1999-03-29,44.6069,45.6710,44.3090,45.6710,5113800
1999-03-30,45.5859,45.9690,45.1603,45.3305,4940600
1999-03-31,46.0967,46.1392,44.5218,44.6495,8256600
1999-04-01,45.9690,46.0115,44.8623,45.5859,8715800
1999-04-05,46.3521,47.3310,46.0541,47.2459,5697200
1999-04-06,47.2033,47.8418,46.7777,47.3310,7522400
1999-04-07,47.7992,47.8844,45.8413,46.8628,11923600
1999-04-08,46.7777,47.4587,45.7987,47.2033,7952400
1999-04-09,47.1608,47.6290,46.9905,47.5013,4946800
1999-04-12,46.3946,47.5013,46.3521,47.2033,10934000
1999-04-13,47.5013,47.5864,46.1818,46.5649,9962200
1999-04-14,47.1608,47.2033,44.6921,44.9475,21253800
1999-04-15,45.1177,45.6285,43.5428,45.5859,17650600
1999-04-16,45.4582,45.4582,44.0110,44.2239,17274000
1999-04-19,44.5218,44.9049,41.7211,42.1638,19460600
1999-04-20,41.9807,43.4577,41.5806,43.1172,17413600
1999-04-21,43.5428,45.2880,42.9469,45.2454,10940400
1999-04-22,45.6710,46.6074,45.3731,46.4797,13630600
1999-04-23,46.2244,47.4162,45.7562,47.0756,7064400
1999-04-26,47.4162,48.5228,47.2459,48.1823,5421000
1999-04-27,48.5228,48.7782,46.8203,47.4162,16482800
1999-04-28,47.0331,47.2033,45.5859,45.7987,7676800
1999-04-29,45.5859,45.8839,44.4792,45.4582,19148200
1999-04-30,46.0967,46.3095,44.0962,45.7136,15295200
1999-05-03,45.5859,45.7987,44.7346,45.5008,11109800
1999-05-04,45.5859,46.3095,44.5218,44.7772,15428400
1999-05-05,44.8198,46.1392,43.4577,46.1392,12642600
1999-05-06,45.7136,46.0967,44.0110,44.4367,15173400
1999-05-07,44.8623,45.2454,43.8834,45.0751,16430400
1999-05-10,45.3731,45.8413,44.8623,45.5433,10604200
1999-05-11,45.9264,46.5223,45.6710,46.2669,8800800
1999-05-12,46.4797,47.3736,45.1177,47.2033,12507400
1999-05-13,47.5864,47.6715,46.1392,46.3521,9864000
1999-05-14,45.4582,45.9690,45.1177,45.4582,12205400
1999-05-17,45.0751,46.4372,44.6069,46.2669,9906800
1999-05-18,46.2244,46.5223,45.5433,46.0967,9267800
1999-05-19,46.2669,46.7351,45.5433,46.7351,7985600
1999-05-20,46.8203,46.8203,45.3731,45.4157,5997200
1999-05-21,45.5859,45.7136,44.7772,45.0326,10958600
1999-05-24,45.0751,45.1603,43.5854,43.8834,9569800
1999-05-25,43.7982,44.4367,42.2446,42.4319,17771200
1999-05-26,42.9895,43.7982,41.6615,43.6280,26772000
1999-05-27,43.4577,44.2239,42.9044,43.5854,23334800
1999-05-28,43.8408,44.5218,43.2875,44.3090,12969800
1999-06-01,44.2239,44.4367,43.0746,43.3300,6960200
1999-06-02,43.2875,44.2664,42.1978,44.0536,11996600
1999-06-03,44.3941,44.3941,43.1598,43.4152,11147800
1999-06-04,43.7557,44.9049,43.7557,44.7346,12987200
1999-06-07,45.0751,45.9690,44.9475,45.6710,11491800
1999-06-08,45.7987,46.0115,44.3090,44.5218,8134800
1999-06-09,44.6921,45.4157,44.6495,45.2880,8384400
1999-06-10,44.8198,45.0751,44.2239,44.7772,9392400
1999-06-11,45.0751,45.1177,43.6705,43.8834,16567600
1999-06-14,44.2239,44.2239,43.1598,43.2449,14136800
1999-06-15,43.3726,44.1387,43.2449,43.8834,9147800
1999-06-16,44.9900,46.1392,44.9475,46.1392,15060200
1999-06-17,45.5433,46.8628,45.5433,46.6500,16278200
1999-06-18,46.2244,46.9905,46.1392,46.8628,5392800
1999-06-21,47.2033,48.3100,47.1182,48.2674,10565200
1999-06-22,48.0120,48.6079,46.8203,46.8203,10862800
1999-06-23,46.8203,47.6715,46.5223,47.5438,9607000
1999-06-24,47.5438,47.5864,46.3946,46.6074,14988800
1999-06-25,46.9480,47.2885,46.1392,46.5649,8635600
1999-06-28,46.9480,47.7141,46.5649,47.6715,7666200
1999-06-29,47.6290,48.4803,47.3736,48.3100,9000400
1999-06-30,48.3526,51.0341,47.7992,49.0761,19467600
1999-07-01,49.2038,49.6720,48.3526,49.3741,6822600
1999-07-02,49.3741,50.0551,49.3741,50.0126,3302000
1999-07-06,50.2679,50.7787,49.4167,49.7146,8794800
1999-07-07,49.6720,49.9700,49.3315,49.7572,10520000
1999-07-08,49.7572,50.6510,49.5443,50.4382,11225000
1999-07-09,50.6084,50.9915,50.2679,50.9490,4206800
1999-07-12,51.1192,51.4172,50.3956,50.6936,7816200
1999-07-13,50.4382,50.6084,50.0551,50.4382,6230000
1999-07-14,50.9490,51.4172,50.2254,51.2895,6909400
1999-07-15,51.4597,51.7577,51.2043,51.7577,6539800
1999-07-16,51.8002,52.5238,51.7577,52.2684,4913800
1999-07-19,52.4813,52.4813,51.5023,51.7151,6833000
1999-07-20,51.0766,51.1618,49.5869,49.7146,14837400
1999-07-21,49.8423,50.3956,49.4167,49.9700,10980400
1999-07-22,49.9700,49.9700,48.5654,48.6931,15148400
1999-07-23,49.0761,49.2464,48.2674,48.7782,12115000
1999-07-26,48.0972,48.6505,47.5013,47.5864,10720000
1999-07-27,48.5228,49.2890,48.0972,48.5228,13732800
1999-07-28,49.1187,49.7572,48.4803,49.4592,10161800
1999-07-29,48.5654,48.9485,47.9269,48.4377,13033800
1999-07-30,48.6505,49.1613,48.0972,48.1823,10947400
1999-08-02,48.2674,49.2038,47.8418,48.0546,9642400
1999-08-03,48.6931,48.6931,47.0331,47.7141,13005000
1999-08-04,47.7141,48.0972,46.8203,46.8628,13227600
1999-08-05,46.8628,47.6290,45.7562,47.6290,18695200
1999-08-06,47.2885,48.1397,46.7777,47.1182,12392200
1999-08-09,47.2885,47.4162,46.3946,46.4797,7983400
1999-08-10,46.3521,46.6926,45.0751,46.0967,16767200
1999-08-11,46.9054,47.6715,46.1818,47.5864,13101400
1999-08-12,47.7992,48.0972,46.9480,47.0331,12715000
1999-08-13,48.0120,49.1187,47.9269,49.0761,14342600
1999-08-16,49.0761,49.6295,48.7356,49.4592,11470600
1999-08-17,49.9274,49.9700,48.8208,49.7146,11408400
1999-08-18,49.5018,50.0977,48.9910,49.1613,7035200
1999-08-19,48.6931,49.0761,48.2674,48.6931,10157800
1999-08-20,48.6505,49.1613,48.6505,49.1187,6920800
1999-08-23,49.7997,50.9064,49.6720,50.9064,9652000
1999-08-24,50.5659,51.8428,50.4382,51.5023,13891400
1999-08-25,51.5874,52.5664,51.0341,52.3536,11352000
1999-08-26,52.3536,52.5238,51.4172,51.5023,9753000
1999-08-27,51.8854,51.8854,50.8213,50.9915,9635400
1999-08-30,51.2043,51.3320,50.1402,50.2679,10141600
1999-08-31,50.6084,51.1192,49.5018,50.8213,14590400
1999-09-01,51.1192,51.6300,50.8213,51.1618,10752000
1999-09-02,50.2254,51.2469,50.1402,50.9915,14583200
1999-09-03,52.4813,53.3751,52.2684,53.3325,14195400
1999-09-07,53.2474,53.7582,53.0346,53.1197,9009000
1999-09-08,52.7792,53.3325,51.9705,52.3961,14303400
1999-09-09,52.3961,53.2474,52.1407,53.1197,12677600
1999-09-10,53.8433,54.2689,53.2474,53.7582,10251000
1999-09-13,53.6730,53.8007,52.8218,53.0772,7240800
1999-09-14,52.9069,53.7582,52.7792,53.3751,10022600
1999-09-15,54.0561,54.0561,52.3110,52.3536,16096000
1999-09-16,52.3110,52.8218,51.2469,52.3110,15371000
1999-09-17,52.8218,54.0136,52.7366,53.8859,14506400
1999-09-20,54.0561,54.2689,53.6730,54.0136,6187200
1999-09-21,53.5454,53.6730,52.5664,52.7366,12265800
1999-09-22,52.8218,53.5454,52.1833,53.2900,12441800
1999-09-23,53.8433,53.9710,50.7787,51.0766,19766000
1999-09-24,50.7787,51.3320,49.9274,51.1618,23570800
1999-09-27,51.8854,52.2684,51.3320,51.5023,12608800
1999-09-28,51.2469,51.9279,50.1402,51.7577,20622000
1999-09-29,51.7577,52.0982,50.6936,50.6936,15557000
